阶段 0，第 1 章：宇宙

---

1.1 第一缕光
夏季，太阳加热亚洲大陆的速度比周围的海洋更快。上方的空气以巨大的对流柱上升，来自印度洋的饱含水分的空气向内涌入以取代它，在整个南亚次大陆上释放出长时间的降雨。这种年度风系就是季风，南亚和东南亚的水稻文明绝对依赖它。冬季，模式反转：大陆冷却速度快于海洋，干燥的空气向外流动，季风消失半年。如果季风来晚了，或者未能到达某个特定地区，饥荒会在一个季节内随之而来。季风构成了超过二十亿人的生命线，其年度可靠性在塑造亚洲的农业历法方面，比任何人类设计的制度都要重要。

Q1: 滋养南亚水稻文明的年度风系是
A 信风。
B 急流。
C 季风。
D 西风带。
A1: C

Q2: 绝对依赖季风的主要作物是
A 小麦。
B 水稻。
C 小米。
D 大麦。
A2: B

Q3: 当季风未能到达某个地区时，一个季节内的后果是
A 洪水。
B 饥荒。
C 流行病。
D 内战。
A3: B

---

6.2 海峡与珊瑚三角区

早在欧洲人到来之前，阿拉伯商人就已经掌握了季风模式。他们在夏季乘着向内陆的风向南航行到印度，交换香料和宝石，然后在冬季乘着向外吹的风返回家乡。中国舰队在郑和 Admiral 的率领下，驾驶着巨大的木船穿越同样的航线，到达了非洲东海岸。在印度洋和太平洋之间是马六甲海峡，一条狭窄的通道，全球大约四分之一的海洋贸易至今仍通过这里。无论哪个势力控制了海峡，就控制了航线，这条通道两千年来一直是一个战略咽喉。围绕它的是珊瑚三角区，地球上生物多样性最丰富的海洋区域，在那里，一个小小的珊瑚礁就可以支持超过一千种鱼类，这种海洋生物的集中度在这个星球上任何其他地方都不存在。

Q1: 全球大约四分之一的海洋贸易仍然通过被称为什么的狭窄通道？
A 霍尔木兹海峡。
B 苏伊士运河。
C 马六甲海峡。
D 白令海峡。
A1: C

Q2: 郑和 Admiral 率领着庞大的中国什么到达了非洲东海岸？
A 小型帆船队。
B 木船舰队。
C 商人商队。
D 骑兵部队。
A2: B

Q3: 环绕马六甲海峡的是地球上生物多样性最丰富的海洋区域，即
A 马尾藻海。
B 仅大堡礁。
C 珊瑚三角区。
D 马里亚纳海盆。
A3: C

---

6.3 动物先听到的海浪

苏门答腊西海岸外海床的一次长距离破裂突然抬升了整个洋底，置换出足够的水量，向各个方向发射出一连串巨大的海浪。这些海浪在数千公里的开放海洋上传播，并在几小时内横扫了印度尼西亚、泰国、斯里兰卡和东非的海岸线，淹死了数十万沿海居民。然而，在第一波海浪到达之前，大象、鸟类和狗已经开始向内陆高地逃离，几乎肯定是因为它们感知到了人耳无法探测到的低频次声波。这场灾难促使海底压力传感器被部署在每一个主要海床上，这些传感器现在持续监测地震活动，并在几分钟内发出警告。在这里，动物的本能不得不被仪器再现。

Q1: 苏门答腊西海岸外海床的一次长距离破裂向各个方向发射出一连串什么样的海浪？
A 海啸波。
B 热带气旋。
C 海底火山喷发。
D 沿南亚河流上溯的潮汐洪水。
A1: A

Q2: 大象、鸟类和狗在第一波海浪到达之前就开始向内陆逃离，是因为它们感知到了什么？
A 大气压力的微妙变化。
B 人耳无法探测到的次声波。
C 被扰动的深水沉积物的气味。
D 海床的振动直接通过它们的脚。
A2: B

Q3: 海床上的地震活动现在由什么持续监测？
A 漂浮在水面的声纳浮标。
B 在几分钟内发出警告的水下压力传感器。
C 指向洋底的卫星摄像机。
D 训练有素的海豚网络。
A3: B

---

6.4 隐藏在大西洋中的河流

一股巨大的暖流从热带沿着美洲东海岸上升，然后穿越大西洋向欧洲流去，在那里它调节了不列颠群岛和斯堪的纳维亚海岸的气候，使其温度大大高于仅凭纬度所预测的水平。这股洋流就是墨西哥湾流，它解释了为什么伦敦冬天温和，而同纬度的加拿大城市却被埋在数米深的雪下。与之相反的方向，从北极向下漂来的是冰山，巨大的冰川碎片偶尔会与过往船只相撞，包括那艘著名的跨大西洋班轮，它在首航中撞上其中一座冰山并沉没。在大西洋中心是马尾藻海，一个被周围洋流包围的近乎静止的水域圆形区域，漂浮的海藻和塑料碎片在那里悄然积聚成一个缓慢变厚的陷阱。

Q1: 将不列颠群岛的气候调节到大大高于仅凭纬度所预测的水平的暖流是
A 仅北大西洋漂流。
B 拉布拉多洋流。
C 墨西哥湾流。
D 环极洋流。
A1: C

Q2: 在首航中撞上冰山沉没的泰坦尼克号是一艘跨大西洋的什么船？
A 远洋班轮。
B 货船。
C 海军巡洋舰。
D 渔船。
A2: A

Q3: 大西洋中心那片近乎静止的水域圆形区域，海藻和塑料碎片在那里积聚，被称为
A 百慕大三角。
B 马尾藻海。
C 珊瑚三角区。
D 仅北大西洋涡旋。
A3: B

---

6.5 大西洋的脊梁

大西洋下方延伸着一条巨大的海底山脉，从北部的冰岛附近的深海平原一直延伸到南极附近的海域，构成了这个星球上最长的连续脊梁。整个山脊都隐藏在水面之下，但它勾勒出美洲板块和非洲-欧洲板块之间的边界，岩浆不断地从山脊中涌出，以指甲生长的缓慢速度将两个大陆推得更远。一旦欧洲船只掌握了北大西洋的风系，他们就利用这片海洋构建了人类历史上最残酷的商业循环之一：被奴役的非洲人被向西拖到美洲的甘蔗和棉花种植园，产品被向东运到欧洲，制成品被向南运到非洲以获取更多的俘虏。三角贸易以数百万人的脊背为基础，构建了现代大西洋世界。

Q1: 完全隐藏在大西洋之下的地球上最长的连续山脉脊梁是
A 安第斯山脉。
B 大西洋中脊。
C 马里亚纳海沟。
D 阿特拉斯山脉。
A1: B

Q2: 欧洲船只将被奴役的非洲人向西运送，糖和棉花向东运送，制成品向南运到非洲。这种三角商业被称为
A 香料贸易。
B 丝绸之路。
C 三角贸易。
D 大西洋运输贸易。
A2: C

Q3: 山脊两侧的大陆被什么以指甲生长的缓慢速度缓慢推开？
A 潮汐压力。
B 从山脊连续涌出的岩浆。
C 冲刷海床的洋流。
D 地壳的逐渐冷却。
A3: B

---

6.6 开放水域中的声音

海豚通过发出快速的咔哒声并解读返回的回声来导航，像蝙蝠绘制洞穴地图一样，通过声音绘制它们的水下环境。座头鲸产生的声音可以在海洋中传播数百公里，同一个种群的每一个成员都唱着相同的歌曲，并每年协作修改其乐句。章鱼，尽管与脊椎动物有着完全独立的进化谱系，却展现出非凡的智慧：它们打开罐子，解决迷宫问题，并利用岩石、沙子甚至移动的光图案伪装自己。信天翁，这个星球上最大的海鸟，利用南大洋的强风每年绕地球飞行一次，每天只需扇动几次翅膀。开放海洋并不是早期水手想象中的寂静而毫无特色的荒野。每个深度的水生生态系统都密集地居住着我们最近才开始感知到的、形式各异的心智。

Q1: 通过发出快速的咔哒声并解读返回的回声来绘制其水下环境的海洋哺乳动物是
A 鲸鱼。
B 海豚。
C 海豹。
D 章鱼。
A1: B

Q2: 同一个种群的每一个成员都唱着相同的歌曲，并每年协作修改其乐句。这种鲸鱼是
A 蓝鲸。
B 抹香鲸。
C 座头鲸。
D 一角鲸。
A2: C

Q3: 这个星球上最大的海鸟，在南大洋的风中每年绕地球飞行一次，是
A 海燕。
B 信天翁。
C 军舰鸟。
D 北极燕鸥。
A3: B

---

（本章词汇总结部分跳过）

阶段 0，第 7 章：南美洲

---

7.1 从海上崛起的安第斯山脉

数百万年来，太平洋板块缓慢地俯冲到南美大陆之下，将整个西部边缘抬升成我们现在称之为安第斯山脉的广阔山脉脊梁。这种俯冲的推力如此持久，以至于今天在安第斯山脉的山顶山脊上仍然能发现海洋贝壳化石，证明现在海拔五千米以上的岩石曾经淹没在海面之下。同样的俯冲也沿着西海岸引发了一系列活火山，并引发了频繁的地震，这些地震点缀着智利和秘鲁的历史，这是一个地质提醒，表明大陆本身仍在被组装。

Q1: 安第斯山脉是由什么抬升形成的？
A 来自地幔的深层火山喷发。
B 太平洋板块俯冲到南美大陆之下。
C 太平洋海底的古代侵蚀。
D 两个大陆板块的碰撞。
A1: B

Q2: 海洋贝壳出现在安第斯山脉的山顶山脊上，是因为...
A 朝圣者将它们作为宗教祭品带到了山上。
B 安第斯神鹰在迁徙途中将它们丢弃。
C 现在海拔五千米以上的岩石曾经位于海面之下。
D 这些贝壳在一系列火山喷发期间变成了化石。
A2: C

Q3: 智利和秘鲁的海岸经常被地震打断，是因为...
A 大西洋板块正在将大陆稳步向西推。
B 地核在南美洲下方发生了偏移。
C 安第斯山脉每年都因侵蚀而变得更高。
D 太平洋板块今天仍在继续俯冲到大陆之下。
A3: D

---

7.2 达尔文与雀类

年轻的博物学家查尔斯·达尔文乘坐一艘名为"小猎犬号"的英国船只航行，该船在加拉帕戈斯群岛停靠，这是一个在太平洋东部漂流的火山露头链。在每个岛屿上，达尔文都遇到了一种略有不同的小型雀类，每种雀类的喙在可测量的方面都有所不同：在食物为种子的地方，喙厚而有力；在食物为昆虫的地方，喙窄而尖。达尔文意识到，一个单一的祖先物种通过适应每个岛屿的特殊条件，逐渐多样化成了多个不同的形态。他瞥见了构成现代生物学基础的机制。深知他的社会将会多么强烈地抵制人类从相同机制中出现的含义，他将手稿压制了二十多年，才最终敢于发表《物种起源》。

Q1: 达尔文在 HMS 小猎犬号上的角色是...
A 绘制南美洲海岸线地图的船长。
B 观察各岛屿物种的博物学家。
C 记录土著信仰体系的传教士。
D 治疗水手热带疾病的医生。
A1: B

Q2: 达尔文注意到加拉帕戈斯群岛上的雀喙各不相同，是因为...
A 每个岛屿都有不同的气候，影响了鸟类的生长。
B 每个物种都逐渐适应了不同的可用食物来源。
C 雀类只与来自同一岛屿的邻居交配。
D 这些岛屿在地质上太年轻，任何单一物种都无法统一定居。
A2: B

Q3: 达尔文将《物种起源》的出版推迟了二十多年，是因为...
A 他还没有收集到足够的支持证据。
B 他正在等待皇家学会资助出版。
C 他担心他的理论会在维多利亚社会引发宗教反弹。
D 他对自然选择实际上如何运作感到困惑。
A3: C

---

7.3 亚马逊河淹没大海

亚马逊河始于安第斯山脉顶峰附近的一小股冰川融水，从西向东穿越整个南美大陆，沿途汇入一千多条支流，最终在河口处注入大西洋，其河口如此宽阔，以至于你从河道中间看不到对岸。亚马逊河输送的淡水量足以将海洋的咸水推回近海一百公里，轨道上的卫星可以观察到淡水羽流与周围海水之间的颜色差异，这是太空中可见的独特的层状图案。亚马逊河所维持的森林构成了这个星球上最大的单一生物群系，每平方公里的物种数量比进化产生的任何其他生态系统都多。

Q1: 亚马逊河始于...
A 大陆西部的一个大湖。
B 安第斯山脉顶峰附近的一小股冰川融水。
C 雨林下面的一个地下泉水。
D 大西洋沿岸风暴的径流。
A1: B

Q2: 亚马逊河所维持的森林构成了...
A 地球上生物多样性最丰富的珊瑚礁。
B 就每平方公里的物种数量而言，地球上最大的单一生物群系。
C 仅次于南极洲和撒哈拉沙漠的第三大生物群系。
D 一个只有几千年历史的近期形成的生态系统。
A2: B

Q3: 在亚马逊河注入大西洋的地方，其淡水羽流...
A 在轨道卫星上是看不见的。
B 在离岸几公里内就被完全消耗掉了。
C 将海洋咸水推回河口约一百公里。
D 在河口处上升成一个永久性的垂直波浪。
A3: C

---

7.4 鲜艳警告的森林

亚马逊雨林是这个星球上伪装最彻底的景观。树懒在自己的皮毛上培养藻类，以便与周围的树叶完美融合。拟态章鱼模仿岩石、树叶，甚至当地的有毒鱼类，以躲避捕食者。相比之下，箭毒蛙则采取了完全相反的策略：它以鲜艳的红色、黄色和蓝色图案炫耀自己，正是因为其皮肤上的毒液一滴就能停止人类的心脏。土著猎人只需将吹箭的尖端在蛙皮上擦拭一下，就能提取出毒液。片刻之内，任何被箭射中的猴子或鸟类都会从树冠上瘫痪坠落。雨林中每一种颜色鲜艳的生物都在向你传递同一个一句话的信息，那就是：不要吃我，我已经准备好了。

Q1: 树懒在自己的皮毛上培养藻类，是为了...
A 在皮肤上产生补充营养。
B 阻止寄生虫在它们身上定居。
C 融入周围的树叶，躲避捕食者。
D 保护皮肤免受紫外线辐射。
A1: C

Q2: 箭毒蛙以鲜艳的颜色炫耀自己，是因为...
A 其鲜艳的图案能从更远的距离吸引配偶。
B 颜色表明其皮肤上的毒液一滴就致命。
C 颜色有助于它在雨林下层吸收阳光。
D 它没有天敌，因此感到在开阔地带很安全。
A2: B

Q3: 亚马逊土著猎人提取蛙毒，并...
